metric,direction,rare_1shot_mean,rare_1shot_sd,rare_5shot_mean,rare_5shot_sd
AUROC,up,0.9294668887963348,0.0093048004404867,0.961177170035672,0.0111555658082955
AUPRC,up,0.9411755039454396,0.0071461553919607,0.9664747337422868,0.0139312965184611
ACC,up,0.8459183673469388,0.0166892114630572,0.8741379310344828,0.0198463179883126
F1_event_macro,up,0.8283801885744125,0.0304106153552303,0.8645788705618427,0.0252421162339681
Brier,down,0.1155430503935042,0.0081226310796763,0.088845271959664,0.0113774406861983
NLL,down,0.3742473152183621,0.010682992639126,0.2736492998235472,0.0404987716786237
ECE,down,0.1160718455306122,0.0326906978168772,0.0932432326896551,0.0183101893352876
Mean_HCE,down,0.0447939618034336,0.0131890010512939,0.0092263547069859,0.0087917341078872
